file_id,n_ref_notes,n_est_notes,frame_f1_0.3,frame_f1_0.5,frame_f1_0.7,onset_p@0.5,onset_r@0.5,onset_f1@0.5,note_p,note_r,note_f1,best_onset_thr,best_frame_thr
05_BN1-129-Eb_comp,148,152,0.8104,0.7969,0.5126,0.1363,0.3851,0.2014,0.9013,0.9257,0.9133,0.70,0.40
05_BN1-129-Eb_solo,44,45,0.8027,0.7981,0.7298,0.1071,0.2955,0.1573,0.9111,0.9318,0.9213,0.55,0.50
05_BN1-147-Gb_comp,96,98,0.8470,0.8697,0.6961,0.1320,0.4688,0.2060,0.8980,0.9167,0.9072,0.75,0.35
05_BN1-147-Gb_solo,27,27,0.7083,0.7586,0.7504,0.0861,0.2963,0.1335,0.8519,0.8519,0.8519,0.80,0.65
05_BN2-131-B_comp,202,179,0.8083,0.7793,0.4869,0.0948,0.2772,0.1412,0.9609,0.8515,0.9029,0.70,0.40
05_BN2-131-B_solo,69,76,0.5833,0.6496,0.6012,0.0683,0.2029,0.1022,0.8553,0.9420,0.8966,0.80,0.45
05_BN2-166-Ab_comp,173,153,0.7624,0.7681,0.5206,0.0998,0.3179,0.1520,0.9346,0.8266,0.8773,0.75,0.35
05_BN2-166-Ab_solo,67,68,0.7165,0.7250,0.6526,0.1368,0.3731,0.2002,0.9265,0.9403,0.9333,0.70,0.30
05_BN3-119-G_comp,180,183,0.7955,0.7686,0.5665,0.0941,0.2849,0.1414,0.9180,0.9333,0.9256,0.75,0.35
05_BN3-119-G_solo,62,66,0.6498,0.6587,0.6528,0.0508,0.1452,0.0753,0.8636,0.9194,0.8906,0.60,0.50
05_BN3-154-E_comp,185,151,0.7816,0.7108,0.4076,0.1194,0.3189,0.1738,0.9073,0.7405,0.8155,0.70,0.35
05_BN3-154-E_solo,56,62,0.7000,0.7108,0.6795,0.1043,0.2500,0.1472,0.8710,0.9643,0.9153,0.50,0.30
05_Funk1-114-Ab_comp,181,161,0.6518,0.6820,0.3319,0.0805,0.2486,0.1216,0.8075,0.7182,0.7602,0.70,0.30
05_Funk1-114-Ab_solo,60,63,0.5963,0.6258,0.5426,0.0955,0.3333,0.1485,0.7619,0.8000,0.7805,0.50,0.25
05_Funk1-97-C_comp,177,169,0.7273,0.6568,0.2822,0.0724,0.1921,0.1051,0.8935,0.8531,0.8728,0.50,0.25
05_Funk1-97-C_solo,58,46,0.6782,0.6906,0.6487,0.0442,0.1379,0.0670,0.9565,0.7586,0.8462,0.60,0.30
05_Funk2-108-Eb_comp,245,206,0.7205,0.6987,0.3217,0.0720,0.2082,0.1070,0.8204,0.6898,0.7494,0.65,0.30
05_Funk2-108-Eb_solo,61,61,0.7620,0.7967,0.7319,0.0868,0.2787,0.1323,0.9344,0.9344,0.9344,0.55,0.35
05_Funk2-119-G_comp,182,153,0.6981,0.6835,0.3534,0.0960,0.3022,0.1457,0.8954,0.7527,0.8179,0.70,0.35
05_Funk2-119-G_solo,99,99,0.5771,0.5997,0.5913,0.0595,0.1818,0.0896,0.8889,0.8889,0.8889,0.60,0.25
05_Funk3-112-C#_comp,212,205,0.6664,0.6063,0.2842,0.0680,0.1651,0.0963,0.7902,0.7642,0.7770,0.45,0.30
05_Funk3-112-C#_solo,70,65,0.7286,0.7928,0.7797,0.0794,0.3000,0.1255,0.9538,0.8857,0.9185,0.45,0.50
05_Funk3-98-A_comp,184,170,0.6577,0.6606,0.4121,0.0675,0.2228,0.1036,0.8294,0.7663,0.7966,0.45,0.40
05_Funk3-98-A_solo,65,69,0.6870,0.7200,0.7023,0.0256,0.1077,0.0414,0.9275,0.9846,0.9552,0.50,0.35
05_Jazz1-130-D_comp,141,121,0.7805,0.7377,0.4117,0.1278,0.3546,0.1879,0.9669,0.8298,0.8931,0.55,0.35
05_Jazz1-130-D_solo,58,60,0.6160,0.7249,0.7096,0.1029,0.4310,0.1662,0.8167,0.8448,0.8305,0.60,0.35
05_Jazz1-200-B_comp,175,151,0.6497,0.4666,0.0985,0.1466,0.2914,0.1951,0.7219,0.6229,0.6687,0.55,0.20
05_Jazz1-200-B_solo,50,52,0.7711,0.8269,0.7286,0.2066,0.6400,0.3124,0.8654,0.9000,0.8824,0.60,0.25
05_Jazz2-110-Bb_comp,252,242,0.6592,0.6009,0.2496,0.0725,0.1706,0.1018,0.8678,0.8333,0.8502,0.65,0.30
05_Jazz2-110-Bb_solo,103,89,0.6999,0.6881,0.5781,0.0744,0.2233,0.1116,0.8989,0.7767,0.8333,0.70,0.35
05_Jazz2-187-F#_comp,247,192,0.6290,0.4623,0.1692,0.1241,0.2348,0.1624,0.7917,0.6154,0.6925,0.60,0.20
05_Jazz2-187-F#_solo,61,59,0.7181,0.7392,0.6492,0.0970,0.3443,0.1514,0.9661,0.9344,0.9500,0.75,0.35
05_Jazz3-137-Eb_comp,235,246,0.6332,0.5757,0.2640,0.0700,0.2170,0.1058,0.8130,0.8511,0.8316,0.70,0.25
05_Jazz3-137-Eb_solo,77,75,0.6714,0.7055,0.6894,0.0839,0.2468,0.1253,0.9733,0.9481,0.9605,0.70,0.40
05_Jazz3-150-C_comp,227,206,0.6576,0.5459,0.1971,0.0894,0.2070,0.1249,0.7670,0.6960,0.7298,0.55,0.25
05_Jazz3-150-C_solo,69,61,0.6845,0.7381,0.7148,0.0633,0.1884,0.0948,0.9672,0.8551,0.9077,0.60,0.50
05_Rock1-130-A_comp,312,290,0.8735,0.8141,0.4299,0.1397,0.3269,0.1957,0.9069,0.8429,0.8738,0.45,0.35
05_Rock1-130-A_solo,60,55,0.7659,0.8135,0.7716,0.0927,0.3167,0.1434,0.9818,0.9000,0.9391,0.75,0.50
