file_id,n_ref_notes,n_est_notes,frame_f1_0.3,frame_f1_0.5,frame_f1_0.7,onset_p@0.5,onset_r@0.5,onset_f1@0.5,note_p,note_r,note_f1,best_onset_thr,best_frame_thr
05_BN1-129-Eb_comp,148,155,0.8067,0.8024,0.7252,0.0000,0.0000,0.0000,0.8903,0.9324,0.9109,0.20,0.40
05_BN1-129-Eb_solo,44,46,0.7178,0.7114,0.6377,0.0000,0.0000,0.0000,0.9130,0.9545,0.9333,0.20,0.40
05_BN1-147-Gb_comp,96,92,0.8291,0.8540,0.8192,0.0000,0.0000,0.0000,0.9348,0.8958,0.9149,0.25,0.45
05_BN1-147-Gb_solo,27,27,0.7012,0.7217,0.6589,0.0000,0.0000,0.0000,0.8148,0.8148,0.8148,0.25,0.70
05_BN2-131-B_comp,202,185,0.8041,0.7953,0.7042,0.0000,0.0000,0.0000,0.9514,0.8713,0.9096,0.20,0.45
05_BN2-131-B_solo,69,78,0.5773,0.5889,0.5623,0.0000,0.0000,0.0000,0.8077,0.9130,0.8571,0.25,0.35
05_BN2-166-Ab_comp,173,160,0.7407,0.7509,0.7022,0.0000,0.0000,0.0000,0.9187,0.8497,0.8829,0.20,0.40
05_BN2-166-Ab_solo,67,70,0.6687,0.6409,0.5641,0.0000,0.0000,0.0000,0.9143,0.9552,0.9343,0.20,0.20
05_BN3-119-G_comp,180,176,0.7858,0.7806,0.7127,0.0000,0.0000,0.0000,0.9318,0.9111,0.9213,0.20,0.50
05_BN3-119-G_solo,62,67,0.6276,0.6245,0.5864,0.0000,0.0000,0.0000,0.8209,0.8871,0.8527,0.20,0.65
05_BN3-154-E_comp,185,184,0.7725,0.7104,0.5731,0.0000,0.0000,0.0000,0.8315,0.8270,0.8293,0.20,0.25
05_BN3-154-E_solo,56,56,0.6537,0.6443,0.5757,0.0000,0.0000,0.0000,0.8929,0.8929,0.8929,0.25,0.35
05_Funk1-114-Ab_comp,181,160,0.6420,0.6788,0.6416,0.0000,0.0000,0.0000,0.7937,0.7017,0.7449,0.20,0.35
05_Funk1-114-Ab_solo,60,59,0.5205,0.5376,0.4962,0.0000,0.0000,0.0000,0.7966,0.7833,0.7899,0.20,0.30
05_Funk1-97-C_comp,177,157,0.6937,0.6863,0.6026,0.0000,0.0000,0.0000,0.9045,0.8023,0.8503,0.20,0.30
05_Funk1-97-C_solo,58,58,0.6518,0.6362,0.6078,0.0000,0.0000,0.0000,0.7931,0.7931,0.7931,0.20,0.20
05_Funk2-108-Eb_comp,245,186,0.6928,0.7109,0.6547,0.0000,0.0000,0.0000,0.8387,0.6367,0.7239,0.20,0.50
05_Funk2-108-Eb_solo,61,60,0.7475,0.7512,0.6914,0.0000,0.0000,0.0000,0.9500,0.9344,0.9421,0.25,0.35
05_Funk2-119-G_comp,182,151,0.6402,0.6726,0.6091,0.0000,0.0000,0.0000,0.8874,0.7363,0.8048,0.25,0.35
05_Funk2-119-G_solo,99,92,0.5288,0.5246,0.4996,0.0000,0.0000,0.0000,0.9130,0.8485,0.8796,0.25,0.25
05_Funk3-112-C#_comp,212,172,0.6683,0.6595,0.5844,0.0000,0.0000,0.0000,0.8605,0.6981,0.7708,0.20,0.30
05_Funk3-112-C#_solo,70,69,0.7303,0.7458,0.7069,0.0000,0.0000,0.0000,0.9420,0.9286,0.9353,0.25,0.20
05_Funk3-98-A_comp,184,160,0.6092,0.6440,0.6142,0.0000,0.0000,0.0000,0.8562,0.7446,0.7965,0.20,0.40
05_Funk3-98-A_solo,65,64,0.6711,0.6567,0.6248,0.0000,0.0000,0.0000,0.9219,0.9077,0.9147,0.20,0.30
05_Jazz1-130-D_comp,141,130,0.7547,0.7519,0.6751,0.0000,0.0000,0.0000,0.9154,0.8440,0.8782,0.15,0.40
05_Jazz1-130-D_solo,58,53,0.5649,0.6612,0.6541,0.0000,0.0000,0.0000,0.8491,0.7759,0.8108,0.20,0.45
05_Jazz1-200-B_comp,175,174,0.6253,0.5261,0.3390,0.0000,0.0000,0.0000,0.5977,0.5943,0.5960,0.15,0.20
05_Jazz1-200-B_solo,50,49,0.7563,0.7658,0.7011,0.0000,0.0000,0.0000,0.9592,0.9400,0.9495,0.20,0.25
05_Jazz2-110-Bb_comp,252,250,0.6330,0.6052,0.4881,0.0000,0.0000,0.0000,0.8120,0.8056,0.8088,0.20,0.30
05_Jazz2-110-Bb_solo,103,82,0.6502,0.5981,0.5323,0.0000,0.0000,0.0000,0.9390,0.7476,0.8324,0.25,0.35
05_Jazz2-187-F#_comp,247,173,0.6231,0.5176,0.3469,0.0000,0.0000,0.0000,0.8324,0.5830,0.6857,0.20,0.25
05_Jazz2-187-F#_solo,61,60,0.6866,0.6635,0.5919,0.0000,0.0000,0.0000,0.9333,0.9180,0.9256,0.20,0.25
05_Jazz3-137-Eb_comp,235,225,0.6159,0.5982,0.4947,0.0000,0.0000,0.0000,0.8222,0.7872,0.8043,0.25,0.30
