file_id,n_ref_notes,n_est_notes,frame_f1_0.3,frame_f1_0.5,frame_f1_0.7,onset_p@0.5,onset_r@0.5,onset_f1@0.5,note_p,note_r,note_f1,best_onset_thr,best_frame_thr
05_BN1-129-Eb_comp,148,139,0.8125,0.7948,0.6916,0.0000,0.0000,0.0000,0.9496,0.8919,0.9199,0.20,0.40
05_BN1-129-Eb_solo,44,43,0.7526,0.7314,0.6842,0.0000,0.0000,0.0000,0.8837,0.8636,0.8736,0.30,0.40
05_BN1-147-Gb_comp,96,96,0.8448,0.8508,0.8039,0.0000,0.0000,0.0000,0.8958,0.8958,0.8958,0.20,0.50
05_BN1-147-Gb_solo,27,33,0.6926,0.7219,0.6948,0.0000,0.0000,0.0000,0.6970,0.8519,0.7667,0.20,0.60
05_BN2-131-B_comp,202,172,0.8143,0.7735,0.6523,0.0000,0.0000,0.0000,0.9709,0.8267,0.8930,0.20,0.40
05_BN2-131-B_solo,69,79,0.5839,0.5886,0.5494,0.0000,0.0000,0.0000,0.7848,0.8986,0.8378,0.20,0.50
05_BN2-166-Ab_comp,173,159,0.7503,0.7470,0.6724,0.0000,0.0000,0.0000,0.9245,0.8497,0.8855,0.20,0.30
05_BN2-166-Ab_solo,67,69,0.6640,0.6368,0.5482,0.0000,0.0000,0.0000,0.8841,0.9104,0.8971,0.20,0.30
05_BN3-119-G_comp,180,168,0.7942,0.7586,0.6826,0.0000,0.0000,0.0000,0.9583,0.8944,0.9253,0.20,0.40
05_BN3-119-G_solo,62,60,0.6254,0.6188,0.5851,0.0000,0.0000,0.0000,0.8667,0.8387,0.8525,0.40,0.40
05_BN3-154-E_comp,185,176,0.7668,0.6894,0.5372,0.0000,0.0000,0.0000,0.8125,0.7730,0.7922,0.20,0.20
05_BN3-154-E_solo,56,67,0.6525,0.6454,0.5969,0.0000,0.0000,0.0000,0.8060,0.9643,0.8780,0.30,0.20
05_Funk1-114-Ab_comp,181,156,0.6504,0.6763,0.5906,0.0000,0.0000,0.0000,0.7885,0.6796,0.7300,0.20,0.30
05_Funk1-114-Ab_solo,60,45,0.5430,0.5421,0.4764,0.0000,0.0000,0.0000,0.8889,0.6667,0.7619,0.30,0.30
05_Funk1-97-C_comp,177,146,0.6953,0.6608,0.5496,0.0000,0.0000,0.0000,0.9041,0.7458,0.8173,0.20,0.30
05_Funk1-97-C_solo,58,48,0.6532,0.6361,0.6105,0.0000,0.0000,0.0000,0.8333,0.6897,0.7547,0.30,0.20
05_Funk2-108-Eb_comp,245,171,0.7070,0.6990,0.6015,0.0000,0.0000,0.0000,0.8713,0.6082,0.7163,0.20,0.40
05_Funk2-108-Eb_solo,61,65,0.7405,0.7434,0.7099,0.0000,0.0000,0.0000,0.8923,0.9508,0.9206,0.30,0.30
05_Funk2-119-G_comp,182,158,0.6557,0.6517,0.5540,0.0000,0.0000,0.0000,0.8544,0.7418,0.7941,0.20,0.30
05_Funk2-119-G_solo,99,83,0.5233,0.5232,0.4971,0.0000,0.0000,0.0000,0.9518,0.7980,0.8681,0.30,0.30
05_Funk3-112-C#_comp,212,124,0.6543,0.6288,0.5270,0.0000,0.0000,0.0000,0.8952,0.5236,0.6607,0.20,0.40
05_Funk3-112-C#_solo,70,66,0.7280,0.7358,0.7005,0.0000,0.0000,0.0000,0.9394,0.8857,0.9118,0.20,0.30
05_Funk3-98-A_comp,184,147,0.6155,0.6341,0.5917,0.0000,0.0000,0.0000,0.8912,0.7120,0.7915,0.20,0.40
05_Funk3-98-A_solo,65,62,0.6708,0.6636,0.6332,0.0000,0.0000,0.0000,0.9032,0.8615,0.8819,0.30,0.30
05_Jazz1-130-D_comp,141,125,0.7621,0.7364,0.6289,0.0000,0.0000,0.0000,0.9120,0.8085,0.8571,0.20,0.30
05_Jazz1-130-D_solo,58,57,0.5861,0.6591,0.6438,0.0000,0.0000,0.0000,0.7719,0.7586,0.7652,0.30,0.30
05_Jazz1-200-B_comp,175,112,0.6075,0.4780,0.2773,0.0000,0.0000,0.0000,0.6696,0.4286,0.5226,0.20,0.20
05_Jazz1-200-B_solo,50,54,0.7508,0.7551,0.6622,0.0000,0.0000,0.0000,0.8704,0.9400,0.9038,0.20,0.20
05_Jazz2-110-Bb_comp,252,226,0.6308,0.5877,0.4488,0.0000,0.0000,0.0000,0.8319,0.7460,0.7866,0.20,0.30
05_Jazz2-110-Bb_solo,103,86,0.6563,0.6082,0.5428,0.0000,0.0000,0.0000,0.8953,0.7476,0.8148,0.30,0.30
05_Jazz2-187-F#_comp,247,166,0.6017,0.4781,0.2808,0.0000,0.0000,0.0000,0.7771,0.5223,0.6247,0.20,0.20
05_Jazz2-187-F#_solo,61,57,0.6823,0.6610,0.5782,0.0000,0.0000,0.0000,0.9474,0.8852,0.9153,0.30,0.30
05_Jazz3-137-Eb_comp,235,210,0.6135,0.5668,0.4326,0.0000,0.0000,0.0000,0.8286,0.7404,0.7820,0.20,0.30
05_Jazz3-137-Eb_solo,77,74,0.6460,0.6333,0.6128,0.0000,0.0000,0.0000,0.9459,0.9091,0.9272,0.30,0.40
05_Jazz3-150-C_comp,227,209,0.6012,0.5176,0.3240,0.0000,0.0000,0.0000,0.6603,0.6079,0.6330,0.20,0.20
05_Jazz3-150-C_solo,69,58,0.6420,0.6538,0.6151,0.0000,0.0000,0.0000,0.9483,0.7971,0.8661,0.20,0.50
05_Rock1-130-A_comp,312,328,0.8726,0.8578,0.7664,0.0000,0.0000,0.0000,0.5793,0.6090,0.5937,0.10,0.70
05_Rock1-130-A_solo,60,60,0.7385,0.7573,0.7112,0.0000,0.0000,0.0000,0.8833,0.8833,0.8833,0.20,0.30
05_Rock1-90-C#_comp,277,144,0.8868,0.8418,0.7511,0.0000,0.0000,0.0000,0.9028,0.4693,0.6176,0.20,0.40
05_Rock1-90-C#_solo,99,105,0.5481,0.5318,0.4890,1.0000,0.0101,0.0200,0.8381,0.8889,0.8627,0.20,0.20
05_Rock2-142-D_comp,460,483,0.7602,0.6642,0.5051,0.0000,0.0000,0.0000,0.5093,0.5348,0.5217,0.10,0.30
05_Rock2-142-D_solo,86,74,0.6003,0.5795,0.5444,0.0000,0.0000,0.0000,0.9595,0.8256,0.8875,0.30,0.40
05_Rock2-85-F_comp,325,215,0.7081,0.6643,0.5607,0.0000,0.0000,0.0000,0.7442,0.4923,0.5926,0.20,0.30
05_Rock2-85-F_solo,125,111,0.4210,0.4066,0.3602,0.0000,0.0000,0.0000,0.9189,0.8160,0.8644,0.30,0.30
05_Rock3-117-Bb_comp,398,251,0.7707,0.7184,0.6458,0.0000,0.0000,0.0000,0.9243,0.5829,0.7149,0.20,0.30
05_Rock3-117-Bb_solo,70,65,0.7226,0.7329,0.7151,1.0000,0.0145,0.0286,0.9692,0.9000,0.9333,0.30,0.40
05_Rock3-148-C_comp,249,250,0.6451,0.7700,0.7836,0.0000,0.0000,0.0000,0.8120,0.8153,0.8136,0.20,0.60
05_Rock3-148-C_solo,61,58,0.6795,0.7107,0.6618,0.0000,0.0000,0.0000,0.8966,0.8525,0.8739,0.20,0.40
05_SS1-100-C#_comp,102,94,0.8153,0.8432,0.8029,0.0000,0.0000,0.0000,0.9255,0.8529,0.8878,0.30,0.70
05_SS1-100-C#_solo,60,57,0.5939,0.5957,0.5859,0.0000,0.0000,0.0000,0.9123,0.8667,0.8889,0.20,0.40
05_SS1-68-E_comp,143,140,0.8187,0.8141,0.7359,0.0000,0.0000,0.0000,0.8714,0.8531,0.8622,0.20,0.30
05_SS1-68-E_solo,78,77,0.4977,0.5004,0.4742,0.0000,0.0000,0.0000,0.7922,0.7821,0.7871,0.30,0.30
05_SS2-107-Ab_comp,222,205,0.7252,0.6801,0.5834,0.0000,0.0000,0.0000,0.8780,0.8108,0.8431,0.20,0.40
05_SS2-107-Ab_solo,87,85,0.6312,0.6299,0.6142,1.0000,0.0115,0.0227,0.9059,0.8851,0.8953,0.30,0.20
05_SS2-88-F_comp,196,201,0.7826,0.7764,0.7112,0.0000,0.0000,0.0000,0.8408,0.8622,0.8514,0.20,0.70
05_SS2-88-F_solo,93,84,0.6060,0.5906,0.5505,0.0000,0.0000,0.0000,0.9762,0.8817,0.9266,0.30,0.30
05_SS3-84-Bb_comp,211,196,0.6537,0.6774,0.6553,0.0000,0.0000,0.0000,0.9388,0.8720,0.9042,0.30,0.60
05_SS3-84-Bb_solo,111,111,0.5435,0.5372,0.5041,0.0000,0.0000,0.0000,0.8649,0.8649,0.8649,0.30,0.30
05_SS3-98-C_comp,199,200,0.8030,0.7832,0.7088,0.0000,0.0000,0.0000,0.8650,0.8693,0.8672,0.20,0.50
05_SS3-98-C_solo,93,87,0.5975,0.6132,0.6022,0.0000,0.0000,0.0000,0.9540,0.8925,0.9222,0.30,0.30
